Task,Best_C,Train_AUC,Val_AUC,Time_Seconds
NR-AR,0.5,0.9086855258113749,0.688257065948856,112.86787033081055
NR-AR-LBD,0.03125,0.8291277242534035,0.7421108179419525,83.7113094329834
NR-AhR,2,0.9159301015667998,0.8652969625273998,119.77468872070312
NR-Aromatase,0.0625,0.8276601985859693,0.7874836173001311,123.57475733757019
NR-ER,2,0.8187188621851963,0.7557610241820767,145.5055706501007
NR-ER-LBD,1,0.9315486134313398,0.7931102491617907,115.96502757072449
NR-PPAR-gamma,0.03125,0.8021684859482334,0.7129108861392326,120.17671465873718
SR-ARE,1,0.8045898403455394,0.7319868995633187,148.3219335079193
SR-ATAD5,0.25,0.8933987205227649,0.8504730368968779,120.84106206893921
SR-HSE,0.5,0.8667315208137091,0.682200152788388,136.1330327987671
SR-MMP,2,0.8949785315570532,0.8392598967297764,130.72624588012695
SR-p53,4,0.9546780677843745,0.7811911170928667,125.87016105651855
